nom,nombre_chambres,etoiles,note,nombre_avis,lien,iso,ecologique,green_leader,longitude,latitude,ville,pays,continent
NH Campo Cartagena,100,3,4.0,801,https://www.nh-hotels.fr/hotel/nh-campo-cartagena,non,non,non,-0.976506,37.612693,Carthagène,Espagne,Europe
NH Cartagena,100,4,4.0,1307,https://www.nh-hotels.fr/hotel/nh-cartagena,non,non,non,-0.986165657533184,37.598859494032,Carthagène,Espagne,Europe
NH Castellón Mindoro,102,4,4.0,768,https://www.nh-hotels.fr/hotel/nh-castellon-mindoro,non,non,non,-0.03835,39.98304,Castellon,Espagne,Europe
NH Castellón Turcosa,70,3,4.5,531,https://www.nh-hotels.fr/hotel/nh-castellon-turcosa,non,non,non,0.013465158493488113,39.97137692865475,Castellon,Espagne,Europe
NH Ciudad Real,89,4,4.0,505,https://www.nh-hotels.fr/hotel/nh-ciudad-real,non,non,non,-3.931861,38.982414,Ciudad Real,Espagne,Europe
NH Collection Amistad Córdoba,108,4,4.5,3459,https://www.nh-hotels.fr/hotel/nh-collection-amistad-cordoba,oui,oui,non,-4.78261,37.8794,Cordoue,Espagne,Europe
NH Córdoba Califa,65,3,4.0,1229,https://www.nh-hotels.fr/hotel/nh-cordoba-califa,non,non,non,-4.78441,37.8827,Cordoue,Espagne,Europe
NH Ciudad de Cuenca,74,4,4.0,1224,https://www.nh-hotels.fr/hotel/nh-ciudad-de-cuenca,non,non,non,-2.13236606241435,40.062382369156,Cuenca,Espagne,Europe
NH Gijón,70,4,4.0,959,https://www.nh-hotels.fr/hotel/nh-gijon,non,oui,oui,-5.643118,43.540452,Gijon,Espagne,Europe
NH Collection Granada Victoria,70,4,4.5,2587,https://www.nh-hotels.fr/hotel/nh-collection-granada-victoria,oui,oui,oui,-3.599839,37.173390,Grenade,Espagne,Europe
NH Luz Huelva,106,4,3.5,746,https://www.nh-hotels.fr/hotel/nh-luz-huelva,non,non,non,-6.943793,37.254438,Huelva,Espagne,Europe
NH Avenida Jerez,95,4,4.0,674,https://www.nh-hotels.fr/hotel/nh-avenida-jerez,non,non,non,-6.133118,36.691771,Jerez de la Frontera,Espagne,Europe
